REG.CGE;NÚMERO;ÓRGÃO;CONVENENTE;CELEBRAÇÃO;PUBLICAÇÃO;OBJETO;VIGÊNCIA;VALOR TOTAL
16-80588-7;0100/2016;SEE - 22.0001 - SECRETARIA DE ESTADO DA EDUCAÇÃO;CONGREGAÇÃO REDENTORISTA NORDESTINA;6/5/2016;25/5/2016;ASSISTÊNCIA EDUCACIONAL DE 220 (DUZENTOS E VINTE) JOVENS MATRICULADOS NO ENSINO MÉDIO DA REDE PÚBLICA DE ENSINO DO ESTADO DA PARAÍBA,ATRAVÉS DOS CURSOS PROFISSIONALIZANTES DE NÍVEL TÉCNICO EM ELETRÔNICA,TELECOMUNICAÇÕES,ENFERMAGEM E EQUIPAMENTOS BIOMÉDICOS.;30/12/2016;927.835,0
16-80585-2;0040/2016;SEDH - 27.0001 - SECRETARIA DE ESTADO DO DESENVOLVIMENTO HUMANO;CASA DA CRIANÇA DR. JOÃO MOURA / CAMPINA GRANDE;18/5/2016;24/5/2016;TRANSFERIR RECURSOS FINANCEIROS À CONVENENTE,DESTINADOS À MANUTENÇÃO DA CASA DA CRIANÇA DR. JOÃO MOURA,QUE TEM POR OBJETIVO ATENDER GRATUITAMENTE CERCA DE 170 (CENTO E SETENTA) CRIANÇAS E FAMÍLIAS CARENTES QUE SE ENCONTRAM SEM SITUAÇÃO SOCIAL VULNERÁVEL,EM REGIME DE ABRIGO SEMI ABERTO. A PARTIR DO TRABALHO DA ENTIDADE,AS MÃE DAS CRIANÇAS ASSISTIDAS TERÃO MAIORES CONDIÇÕES DE TRABALHO,PROPORCIONANDO,ASSIM,ATENDIMENTO ÀS NECESSIDADES BÁSICAS DE SUAS FAMÍLIAS,CONFORME ESPECIFICAÇÕES NO PLANO DE TRABALHO;31/12/2016;82.474,23
16-80492-9;0055/2016;SES - 25.0001 - SECRETARIA DE ESTADO DA SAÚDE;REDE NACIONAL PESQUISA AO VIRUS HIV - AIDS / CAMPINA GRANDE;12/5/2016;20/5/2016;O PRESENTE CONVÊNIO TEM POR OBJETO FOMENTAR O PROJETO SELECIONADO NO EDITAL DE SELEÇÃO PÚBLICA Nº 01/2015,INTEGRAÇÃO E VALORIZAÇÃO DAS PVHA  2015,CUJO OBJETIVO É DESENVOLVER AÇÕES DE INTEGRAÇÃO E VALORIZAÇÃO DAS PESSOAS VIVENDO E CONVIVENDO COM HIV/AIDS NO ESTADO DA PARAÍBA,VISANDO,AINDA,CONTRIBUIR PARA A MELHORIA DA QUALIDADE DE VIDA,RESGATE DA AUTOESTIMA E A SOCIALIZAÇÃO DAS PVHA,ALÉM DE PRESTAR ATENDIMENTO JURÍDICO,PSICOSSOCIAL  E NUTRICIONAL E MEDIAR CASOS DE VIOLAÇÃO DOS DIREITOS HUMANOS.;31/7/2016;21.670,0
16-80436-8;0197/2016;SEE - 22.0001 - SECRETARIA DE ESTADO DA EDUCAÇÃO;CONSELHO ESCOLAR DA ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL E MÉDIO IZABEL RODRIGUES DE MELO;6/5/2016;10/5/2016;ESTABELECER UM REGIME DE MÚTUA COOPERAÇÃO,VISANDO A SUPLEMENTAÇÃO DO FORNECIMENTO DE ALIMENTAÇÃO ESCOLAR NA EEEM ISABEL RODRIGUES DE MELO,EM DECORRÊNCIA DO PROGRAMA ESCOLA PARAÍBA MAIS - PBMAIS,EM TEMPO INTEGRAL.;31/12/2016;3.240,0
16-80406-6;0170/2016;SEE - 22.0001 - SECRETARIA DE ESTADO DA EDUCAÇÃO;CONSELHO ESCOLAR DA EEEFM DR HORTENCIO S. RIBEIRO - CAMPINA GRANDE/PB.;28/4/2016;4/5/2016;ESTABELECER UM REGIME DE MÚTUA COOPERAÇÃO,VISANDO A SUPLEMENTAÇÃO DO FORNECIMENTO DE ALIMENTAÇÃO ESCOLAR NA EEEM DOUTOR HORTÊNSIO SOUSA RIBEIRO,EM DECORRÊNCIA DO PROGRAMA ESCOLA CIDADÃ INTEGRADA,EM TEMPO INTEGRAL.;31/12/2016;49.140,0
16-80353-1;0002/2016;DETRAN - 26.0101 - DEPARTAMENTO ESTADUAL DE TRÂNSITO DO ESTADO DA PARAÍBA;UNIVERSIDADE ESTADUAL DA PARAÍBA;8/4/2016;20/4/2016;DESCENTRALIZAR RECURSOS A FIM DE VIABILIZAR QUE AS PROVAS DE LEGISLAÇÃO DE TRÂNSITO,PARA A OBTENÇÃO DA CARTEIRA NACIONAL DE HABILITAÇÃO - CNH,NOS MUNICÍPIOS DE GUARABIRA,CATOLÉ DO ROCHA,PATOS,MONTEIRO,POMBAL,SOUSA,CAJAZEIRAS E PRINCESA ISABEL,SEJAM REALIZADOS NO ÂMBITO DOS CAMPI DA UNIVERSIDADE ESTADUAL DA PARAÍBA - UEPB. ;31/12/2016;409.308,0
16-80321-3;0130/2016;SEE - 22.0001 - SECRETARIA DE ESTADO DA EDUCAÇÃO;CONSELHO ESCOLAR DA EEEFM NENZINHA CUNHA LIMA;11/4/2016;13/4/2016;ESTABELECER UM REGIME DE MÚTUA COOPERAÇÃO,VISANDO A SUPLEMENTAÇÃO DO FORNECIMENTO DE ALIMENTAÇÃO ESCOLAR NA EEEM NENZINHA CUNHA LIMA,EM DECORRÊNCIA DO PROGRAMA ESCOLA CIDADÃ INTEGRAL.;31/12/2016;21.000,0
16-80012-5;0334/2015;SEE - 22.0001 - SECRETARIA DE ESTADO DA EDUCAÇÃO;INSTITUTO EUVALDO LODI - CAMPINA GRANDE/PB.;23/7/2015;15/1/2015;TEM POR IBJETO A INTERMEDIAÇÃO E PROMOÇÃO DE INTEGRAÇÃO PELO IEL/PB,NA QUALIDADE DE AGENTE DE INTEGRAÇÃO,ENTRE A INSTITUIÇÃO DE ENSINO E AS CONCEDENTES,VISANDO A IMPLEMENTAÇÃO DE PROGRAMA DE ESTÁGIO.;23/7/2020;0,0
15-80641-3;0042/2015;SES - 25.0001 - SECRETARIA DE ESTADO DA SAÚDE;REDE NACIONAL PESQUISA AO VIRUS HIV - AIDS / CAMPINA GRANDE;18/12/2015;30/12/2015;O PRESENTE CONVÊNIO TEM POR OBJETO O INCENTIVO A CASA DE APOIO TIPO I,DESTINADA A ACOLHER AS PESSOAS VIVENDO E CONVIVENDO COM HIV/AIDS DE OUTRAS CIDADES DO INTERIOR PARAIBANO,QUE SE DESLOCAM A CAMPINA GRANDE,A FIM DE SEREM ATENDIDAS NOS SERVIÇOS DE REFERÊNCIA,OFERECENDO-LHES SERVIÇOS DE HOSPEDAGEM E ALIMENTAÇÃO.;30/11/2016;109.200,0
15-80623-5;0009/2015;SEAP - 24.0001 - SECRETARIA DE ESTADO DE ADMINISTRAÇÃO PENITENCIÁRIA;UNIVERSIDADE ESTADUAL DA PARAÍBA;30/9/2015;12/12/2015;O PRESENTE CONVÊNIO TEM POR OBJETO,A PRESTAÇÃO DE MÃO-DE-OBRA PRISIONAL FORNECIDA POR REEDUCANDOS DO SISTEMA PENITENCIÁRIO DO ESTADO DA PARAÍBA,QUE SE ENCONTREM CUMPRINDO PENA EM REGIME ABERTO,SEMI-ABERTO E EM LIVRAMENTO CONDICIONAL,DECRETADOS PELA JUSTIÇA CRIMINAL;29/9/2016;0,0
15-80617-1;0040/2015;SES - 25.0001 - SECRETARIA DE ESTADO DA SAÚDE;GRUPO LGBT CAMPINA GRANDE;21/10/2015;27/11/2015;O PRESENTE CONVÊNIO TEM POR OBJETO FOMENTAR O PROJETO DE AÇÃO DST´S/AIDS E HV E SUAS PREVENÇÕES À POPULAÇÃO GLOBAL,ORIENTANDO O PÚBLICO ALVO ACERCA DO PERIGO DAS DST´S,PROMOVENDO A VISIBILIDADE DO PÚBLICO LGBT,A FIM DE MOSTRAR À SOCIEDADE O RESPEITO E O DIREITO.;29/4/2016;18.000,0
15-80496-8;0002/2015;SEDAP - 32.101 - SECRETARIA DE ESTADO DE DESENV AGROPECUÁRIA E PESCA;ESCOLA TÉCNICA REDENTORISTA-ETER/CAMPINA GRANDE;25/9/2015;1/10/2015;REALIZAÇÃO DE CURSO DE VIVEIRICUTOR,PARA 30 (TRINTA) ALUNOS NAS COMUNIDADES,QUE TÊM CONVÊNIOS COM O PROCASE.;1/9/2016;42.363,46
15-80379-1;0309/2015;SEE - 22.0001 - SECRETARIA DE ESTADO DA EDUCAÇÃO;ORGANIZAÇÃO PAPEL MARCHE - PAPEL MARCHE / CAMPINA GRANDE;30/7/2015;13/8/2015;REALIZAÇÃO DE ATENDIMENTO E ACOMPANHAMENTO EDUCACIONAL ESPECIALIZADO ÀS PESSOAS COM DEFICIÊNCIA,TRANSTORNOS GLOBAIS DO DESENVOLVIMENTO,ALTAS HABILIDADES,SUPERDOTAÇÃO E ATENDIMENTO AOS TRANSTORNOS ESCOLARES ORIUNDOS DA REDE REGULAR DE ENSINO DO MUNICÍPIO DE CAMPINA GRANDE/PB E REGIÃO.;28/2/2017;687.534,81
15-80336-8;0321/2015;SEE - 22.0001 - SECRETARIA DE ESTADO DA EDUCAÇÃO;CONSELHO ESCOLAR DA EEEFM DR HORTENCIO S. RIBEIRO - CAMPINA GRANDE/PB.;16/7/2015;21/7/2015;ESTABELECER UM REGIME DE MÚTUA COOPERAÇÃO,VISANDO A SUPLEMENTAÇÃO DO FORNECIMENTO DE ALIMENTAÇÃO ESCOLAR NA EEEM DOUTOR HORTÊNCIO SOUSA RIBEIRO (PREMEN),EM DECORRÊNCIA DO PROGRAMA DO ENSINO MÉDIO INOVADOR EM TEMPO INTEGRAL.;29/2/2016;128.200,0
15-80334-1;0322/2015;SEE - 22.0001 - SECRETARIA DE ESTADO DA EDUCAÇÃO;CONSELHO ESCOLAR DA EEEFM NENZINHA CUNHA LIMA;16/7/2015;21/7/2015;ESTABELECER UM REGIME DE MÚTUA COOPERAÇÃO,VISANDO A SUPLEMENTAÇÃO DO FORNECIMENTO DE ALIMENTAÇÃO ESCOLAR NA EEEFM NENZINHA CUNHA LIMA,EM DECORRÊNCIA DO PROGRAMA DO ENSINO MÉDIO INOVADOR EM TEMPO INTEGRAL.;29/2/2016;38.000,0
15-80208-6;0006/2015;FUNCEP - 20.901 - FUNDO DE COMBATE E ERRADICAÇÃO À POBREZA DO ESTADO;CONGREGAÇÃO REDENTORISTA NORDESTINA;19/5/2015;18/6/2015;CAPACITAÇÃO PROFISSIONAL,NA FORMA DE ASSISTÊNCIA EDUCACIONAL,PARA 242 (DUZENTOS E QUARENTA E DOIS) JOVENS E ADULTOS ORIUNDOS DE FAMÍLIAS EM SITUAÇÃO DE VULNERABILIDADE SOCIAL,EGRESSOS DO ENSINO MÉDIO NA REDE PÚBLICA DE ENSINO DO ESTADO DA PARAÍBA.;31/12/2015;900.000,0
15-80104-7;0284/2015;SEE - 22.0001 - SECRETARIA DE ESTADO DA EDUCAÇÃO;CONSELHO ESCOLAR DA ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL E MÉDIO IZABEL RODRIGUES DE MELO;21/5/2015;29/5/2015;ESTABELECER UM REGIME DE MÚTUA COOPERAÇÃO,VISANDO A SUPLEMENTAÇÃO DO FORNECIMENTO DE ALIMENTAÇÃO ESCOLAR NA EEEFM ISABEL RODRIGUES DE MELO,EM DECORRÊNCIA DO PROGRAMA DO ENSINO MÉDIO INOVADOR EM TEMPO INTEGRAL.;29/2/2016;25.200,0
15-80072-5;0002/2015;SUDEMA - 31.205 - SUPERINTENDÊNCIA DA ADMINISTRAÇÃO DO MEIO AMBIENTE;SECRETARIA DE ESTADO DA AGRICULTURA FAMILIAR E DO DESENVOLVIMENTO DO SEMI-ÁRIDO;18/5/2015;20/5/2015;COOPERAÇÃO TÉCNICA E ADMINISTRATIVA ENTRE OS PARTÍCIPES OBJETIVANDO AÇÕES CONJUNTAS PARA VALIDAÇÃO E IMPLANTAÇÃO DAS AÇÕES DO CADASTRO AMBIENTAL RURAL (CAR) E DO PROGRAMA DE REGULARIZAÇÃO AMBIENTAL (PRA) DE TODOS OS IMÓVEIS E POSSES RURAIS DOS BENEFICIÁRIOS,QUE VISA ESSENCIALMENTE A REGULARIZAÇÃO AMBIENTAL DAS PROPRIEDADES RURAIS ATRAVÉS DA FERRAMENTA ELETRÔNICA SICAR FEDERAL.;18/5/2017;0,0
15-80058-0;0256/2015;SEE - 22.0001 - SECRETARIA DE ESTADO DA EDUCAÇÃO;CONSELHO ESCOLAR DA ESCOLA EST. DE ENS. FUND. E MÉDIO ELPIDIO DE ALMEIDA- CAMPINA GRANDE;29/4/2015;13/5/2015;ESTABELECER UM REGIME DE MÚTUA COOPERAÇÃO,VISANDO A SUPLEMENTAÇÃO DO FORNECIMENTO DE ALIMENTAÇÃO ESCOLAR NA EEEM DOUTOR ELPÍDIO DE ALMEIDA (DA PRATA),EM DECORRÊNCIA DO PROGRAMA DO ENSINO MÉDIO INOVADOR EM TEMPO INTEGRAL.;29/2/2016;180.600,0
15-80047-4;0259/2015;SEE - 22.0001 - SECRETARIA DE ESTADO DA EDUCAÇÃO;CONSELHO ESCOLAR DA ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL E MÉDIO SEVERINO CABRAL - CAMPINA GRANDE/P;29/4/2015;8/5/2015;ESTABELECER UM REGIME DE MÚTUA COOPERAÇÃO,VISANDO A SUPLEMENTAÇÃO DO FORNECIMENTO DE ALIMENTAÇÃO ESCOLAR NA EEFM SEVERINO CABRAL,EM DECORRÊNCIA DO PROGRAMA DO ENSINO MÉDIO INOVADOR EM TEMPO INTEGRAL.;29/2/2016;50.800,0
15-80030-0;0002/2015;FUNCEP - 20.901 - FUNDO DE COMBATE E ERRADICAÇÃO À POBREZA DO ESTADO;CASA DO MENINO / CAMPINA GRANDE;23/3/2015;9/4/2015;CONSTRUÇÃO DE SALAS DE LEITURA,DA COORDENAÇÃO E DOS PROFESSORES,BEM COMO DO PISO NO PÁTIO E NA CALÇADA EXTERNA DA ESCOLA DA CASA DO MENINO.;31/8/2015;174.452,53
15-80028-8;0004/2015;DETRAN - 26.0101 - DEPARTAMENTO ESTADUAL DE TRÂNSITO DO ESTADO DA PARAÍBA;UNIVERSIDADE ESTADUAL DA PARAÍBA;13/3/2015;1/4/2015;DESCENTRALIZAR CURSOS A FIM DE VIABILIZAR QUE AS PROVAS DE LEGISLAÇÃO DE TRÂNSITO,PARA A OBTENÇÃO DE CARTEIRA NACIONAL DE HABILITAÇÃO - CNH,NOS MUNICIPIOS DE GUARABIRA,CATOLÉ DO ROCHA,PATOS E MONTEIRO,SEJAM REALIZADOS NO ÂMBITO DOS CAMPI DA UNIVERSIDADE ESTADUAL DA PARAÍBA - UEPB;31/12/2015;222.020,0
15-80027-0;0003/2015;UEPB - 22.0401 - UNIVERSIDADE ESTADUAL DA PARAÍBA;CENTRO DE ENSINO SUPERIOR E DESENVOLVIMENTO LTDA / CAMPINA GRANDE;25/3/2015;1/4/2015;O PRESENTE CONVÊNIO TEM POR OBJETIVO ESTABELECER AS CONDIÇÕES NECESSÁRIAS À EXECUÇÃO DO INTERCÂMBIO E COOPERAÇÃO TÉCNICO-CIENTÍFICA,COM FOCO NO DESENVOLVIMENTO DE ATIVIDADES E/OU PROJETOS VOLTADOS PARA A FORMAÇÃO PROFISSIONAL DOS ALUNOS REGULARMENTE MATRICULADOS NOS CURSOS DA FACISA E FCM E DA UEPB,COMO: VISITAS,AULAS PRÁTICAS E ESTÁGIOS CURRICULARES OBRIGATÓRIOS E NÃO-OBRIGATÓRIOS,REALIZADOS SOB O AMPARO DA LEI Nº 11.788/2009.;25/3/2020;0,0
15-80018-1;0001/2015;UEPB - 22.0401 - UNIVERSIDADE ESTADUAL DA PARAÍBA;SECRETARIA MUNICIPAL DE SAÚDE DE CAMPINA GRANDE;27/2/2015;6/3/2015;CONSTITUI OBJETO DO PRESENTE PROTOCOLO A COOPERAÇÃO MÚTUA ENTRE AS PARTES,VISANDO REALIZAR O TRATAMENTO DE TABAGISTA DO MUNICÍPIO DE CAMPINA GRANDE/PB,VISANDO À REDUÇÃO DE DANOS PROVOCADOS PELO CONSUMO DE TABACO,GERANDO ASSIM QUALIDADE DE VIDA PARA A COMUNIDADE.;27/2/2017;0,0
15-80013-0;0001/2015;FUNCEP - 20.901 - FUNDO DE COMBATE E ERRADICAÇÃO À POBREZA DO ESTADO;FUNDAÇÃO ASSISTENCIAL DA PARAÍBA  -  FAP;28/1/2015;13/2/2015;AQUISIÇÃO DE MEDICAMENTOS PARA PACIENTES EM TRATAMENTO DE QUIMIOTERAPIA,PORTADORES DE PATOLOGIAS ONCOLÓGICAS.;31/12/2015;824.000,0
15-80006-7;0031/2014;FUNCEP - 20.901 - FUNDO DE COMBATE E ERRADICAÇÃO À POBREZA DO ESTADO;CASA DA CRIANÇA DR. JOÃO MOURA / CAMPINA GRANDE;22/12/2014;29/1/2015;DESTINADO AO ATENDIMENTO E MANUTENÇÃO DA ASSISTÊNCIA AS 170 (CENTO E SETENTA) CRIANÇAS CARENTES EM REGIME DE ABRIGO SEMIABERTO NA INSTITUIÇÃO,LOCALIZADA EM CAMPINA GRANDE - PB.;31/12/2015;160.000,0
15-80004-1;0010/2014;SUDEMA - 31.205 - SUPERINTENDÊNCIA DA ADMINISTRAÇÃO DO MEIO AMBIENTE;UNIVERSIDADE ESTADUAL DA PARAÍBA;9/12/2014;24/1/2015;CONCESSÃO DE ESTÁGIOS CURRICULARES OBRIGATÓRIOS E NÃO-OBRIGATÓRIOS PELA SUDEMA,AOS ALUNOS REGULAMENTE MATRICULADOR PELA UEPB.;9/12/2018;0,0
15-80003-2;0079/2014;SUDEMA - 31.205 - SUPERINTENDÊNCIA DA ADMINISTRAÇÃO DO MEIO AMBIENTE;UNIVERSIDADE FEDERAL DE CAMPINA GRANDE - PB.;30/12/2014;17/1/2015;CONCESSAO DE ESTAGIOS CURRICULARES;30/12/2018;0,0
14-81041-7;0006/2014;SEAD - 19.0001 - SECRETARIA DO ESTADO DA ADMINISTRACAO;PARAÍBA PLANO DE ASSISTÊNCIA FAMILIAR - EPP;18/11/2014;19/11/2014;HABILITAR A CONSIGNATÁRIA A OPERAR NO SISTEMA DE CONSIGNAÇÕES DO ESTADO DA PARAÍBA,ATRAVÉS DE DESCONTO EM FOLHA DE PAGAMENTO PELOS SERVIÇOS DE ASSISTÊNCIA FUNERÁRIA QUE VENHA A PRESTAR AOS SERVIDORES PÚBLICOS ESTADUAIS E DEMAIS BENEFICIÁRIOS POR ELE INDICADOS.;17/11/2015;0,0
14-81032-8;0451/2014;SEE - 22.0001 - SECRETARIA DE ESTADO DA EDUCAÇÃO;UNIVERSIDADE ESTADUAL DA PARAÍBA;10/11/2014;12/11/2014;ESTABELECER UM REGIME DE MÚTUA COOPERAÇÃO,VISANDO A SUPLEMENTAÇÃO DO FORNECIMENTO DE ALIMENTAÇÃO ESCOLAR NA ESCOLA AGROTÉCNICA DO CAJUEIRO CAMPUS IV - UEPB,EM DECORRÊNCIA DO PROGRAMA PBVEST.;31/12/2014;1.800,0
14-81012-3;0043/2014;SES - 25.0001 - SECRETARIA DE ESTADO DA SAÚDE;INSTITUTO SOCIAL DE ASSISTÊNCIA À SAÚDE - ISAS;28/8/2014;17/10/2014;O PRESENTE CONVÊNIO TEM POR OBJETO GARANTIR O INCENTIVO À DOAÇÃO,CAPTAÇÃO E TRANSPLANTE DE FÍGADO NO ESTADO DA PARAÍBA,ALÉM DE CUSTEIO DE DOIS PLANTÕES,NAS PRIMEIRAS 24 HORAS DO PÓS - OPERATÓRIO IMEDIATO (TX DE FÍGADO),FAVORECENDO AOS USUÁRIOS DO SUS.;1/9/2015;133.408,56
