ID,DATA_INICIO,DATA_FIM,VALOR_TOTAL,VALOR_EMPENHADO,DESCRICAO,STATUS,UF,MUNICIPIO,AREA,TIPO
16-80588-7,25/5/2016,30/12/2016,927835,NA,"ASSISTÊNCIA EDUCACIONAL DE 220 (DUZENTOS E VINTE) JOVENS MATRICULADOS NO ENSINO MÉDIO DA REDE PÚBLICA DE ENSINO DO ESTADO DA PARAÍBA,ATRAVÉS DOS CURSOS PROFISSIONALIZANTES DE NÍVEL TÉCNICO EM ELETRÔNICA,TELECOMUNICAÇÕES,ENFERMAGEM E EQUIPAMENTOS BIOMÉDICOS.",NA,PB,CAMPINA GRANDE,NA,Convenio
16-80585-2,24/5/2016,31/12/2016,82474.23,NA,"TRANSFERIR RECURSOS FINANCEIROS À CONVENENTE,DESTINADOS À MANUTENÇÃO DA CASA DA CRIANÇA DR. JOÃO MOURA,QUE TEM POR OBJETIVO ATENDER GRATUITAMENTE CERCA DE 170 (CENTO E SETENTA) CRIANÇAS E FAMÍLIAS CARENTES QUE SE ENCONTRAM SEM SITUAÇÃO SOCIAL VULNERÁVEL,EM REGIME DE ABRIGO SEMI ABERTO. A PARTIR DO TRABALHO DA ENTIDADE,AS MÃE DAS CRIANÇAS ASSISTIDAS TERÃO MAIORES CONDIÇÕES DE TRABALHO,PROPORCIONANDO,ASSIM,ATENDIMENTO ÀS NECESSIDADES BÁSICAS DE SUAS FAMÍLIAS,CONFORME ESPECIFICAÇÕES NO PLANO DE TRABALHO",NA,PB,CAMPINA GRANDE,NA,Convenio
16-80492-9,20/5/2016,31/7/2016,21670,NA,"O PRESENTE CONVÊNIO TEM POR OBJETO FOMENTAR O PROJETO SELECIONADO NO EDITAL DE SELEÇÃO PÚBLICA Nº 01/2015,INTEGRAÇÃO E VALORIZAÇÃO DAS PVHA  2015,CUJO OBJETIVO É DESENVOLVER AÇÕES DE INTEGRAÇÃO E VALORIZAÇÃO DAS PESSOAS VIVENDO E CONVIVENDO COM HIV/AIDS NO ESTADO DA PARAÍBA,VISANDO,AINDA,CONTRIBUIR PARA A MELHORIA DA QUALIDADE DE VIDA,RESGATE DA AUTOESTIMA E A SOCIALIZAÇÃO DAS PVHA,ALÉM DE PRESTAR ATENDIMENTO JURÍDICO,PSICOSSOCIAL  E NUTRICIONAL E MEDIAR CASOS DE VIOLAÇÃO DOS DIREITOS HUMANOS.",NA,PB,CAMPINA GRANDE,NA,Convenio
16-80436-8,10/5/2016,31/12/2016,3240,NA,"ESTABELECER UM REGIME DE MÚTUA COOPERAÇÃO,VISANDO A SUPLEMENTAÇÃO DO FORNECIMENTO DE ALIMENTAÇÃO ESCOLAR NA EEEM ISABEL RODRIGUES DE MELO,EM DECORRÊNCIA DO PROGRAMA ESCOLA PARAÍBA MAIS - PBMAIS,EM TEMPO INTEGRAL.",NA,PB,CAMPINA GRANDE,NA,Convenio
16-80406-6,4/5/2016,31/12/2016,49140,NA,"ESTABELECER UM REGIME DE MÚTUA COOPERAÇÃO,VISANDO A SUPLEMENTAÇÃO DO FORNECIMENTO DE ALIMENTAÇÃO ESCOLAR NA EEEM DOUTOR HORTÊNSIO SOUSA RIBEIRO,EM DECORRÊNCIA DO PROGRAMA ESCOLA CIDADÃ INTEGRADA,EM TEMPO INTEGRAL.",NA,PB,CAMPINA GRANDE,NA,Convenio
16-80353-1,20/4/2016,31/12/2016,409308,NA,"DESCENTRALIZAR RECURSOS A FIM DE VIABILIZAR QUE AS PROVAS DE LEGISLAÇÃO DE TRÂNSITO,PARA A OBTENÇÃO DA CARTEIRA NACIONAL DE HABILITAÇÃO - CNH,NOS MUNICÍPIOS DE GUARABIRA,CATOLÉ DO ROCHA,PATOS,MONTEIRO,POMBAL,SOUSA,CAJAZEIRAS E PRINCESA ISABEL,SEJAM REALIZADOS NO ÂMBITO DOS CAMPI DA UNIVERSIDADE ESTADUAL DA PARAÍBA - UEPB.",NA,PB,CAMPINA GRANDE,NA,Convenio
16-80321-3,13/4/2016,31/12/2016,21000,NA,"ESTABELECER UM REGIME DE MÚTUA COOPERAÇÃO,VISANDO A SUPLEMENTAÇÃO DO FORNECIMENTO DE ALIMENTAÇÃO ESCOLAR NA EEEM NENZINHA CUNHA LIMA,EM DECORRÊNCIA DO PROGRAMA ESCOLA CIDADÃ INTEGRAL.",NA,PB,CAMPINA GRANDE,NA,Convenio
16-80012-5,15/1/2015,23/7/2020,0,NA,"TEM POR IBJETO A INTERMEDIAÇÃO E PROMOÇÃO DE INTEGRAÇÃO PELO IEL/PB,NA QUALIDADE DE AGENTE DE INTEGRAÇÃO,ENTRE A INSTITUIÇÃO DE ENSINO E AS CONCEDENTES,VISANDO A IMPLEMENTAÇÃO DE PROGRAMA DE ESTÁGIO.",NA,PB,CAMPINA GRANDE,NA,Convenio
15-80641-3,30/12/2015,30/11/2016,109200,NA,"O PRESENTE CONVÊNIO TEM POR OBJETO O INCENTIVO A CASA DE APOIO TIPO I,DESTINADA A ACOLHER AS PESSOAS VIVENDO E CONVIVENDO COM HIV/AIDS DE OUTRAS CIDADES DO INTERIOR PARAIBANO,QUE SE DESLOCAM A CAMPINA GRANDE,A FIM DE SEREM ATENDIDAS NOS SERVIÇOS DE REFERÊNCIA,OFERECENDO-LHES SERVIÇOS DE HOSPEDAGEM E ALIMENTAÇÃO.",NA,PB,CAMPINA GRANDE,NA,Convenio
15-80623-5,12/12/2015,29/9/2016,0,NA,"O PRESENTE CONVÊNIO TEM POR OBJETO,A PRESTAÇÃO DE MÃO-DE-OBRA PRISIONAL FORNECIDA POR REEDUCANDOS DO SISTEMA PENITENCIÁRIO DO ESTADO DA PARAÍBA,QUE SE ENCONTREM CUMPRINDO PENA EM REGIME ABERTO,SEMI-ABERTO E EM LIVRAMENTO CONDICIONAL,DECRETADOS PELA JUSTIÇA CRIMINAL",NA,PB,CAMPINA GRANDE,NA,Convenio
15-80617-1,27/11/2015,29/4/2016,18000,NA,"O PRESENTE CONVÊNIO TEM POR OBJETO FOMENTAR O PROJETO DE AÇÃO DST´S/AIDS E HV E SUAS PREVENÇÕES À POPULAÇÃO GLOBAL,ORIENTANDO O PÚBLICO ALVO ACERCA DO PERIGO DAS DST´S,PROMOVENDO A VISIBILIDADE DO PÚBLICO LGBT,A FIM DE MOSTRAR À SOCIEDADE O RESPEITO E O DIREITO.",NA,PB,CAMPINA GRANDE,NA,Convenio
15-80496-8,1/10/2015,1/9/2016,42363.46,NA,"REALIZAÇÃO DE CURSO DE VIVEIRICUTOR,PARA 30 (TRINTA) ALUNOS NAS COMUNIDADES,QUE TÊM CONVÊNIOS COM O PROCASE.",NA,PB,CAMPINA GRANDE,NA,Convenio
15-80379-1,13/8/2015,28/2/2017,687534.81,NA,"REALIZAÇÃO DE ATENDIMENTO E ACOMPANHAMENTO EDUCACIONAL ESPECIALIZADO ÀS PESSOAS COM DEFICIÊNCIA,TRANSTORNOS GLOBAIS DO DESENVOLVIMENTO,ALTAS HABILIDADES,SUPERDOTAÇÃO E ATENDIMENTO AOS TRANSTORNOS ESCOLARES ORIUNDOS DA REDE REGULAR DE ENSINO DO MUNICÍPIO DE CAMPINA GRANDE/PB E REGIÃO.",NA,PB,CAMPINA GRANDE,NA,Convenio
15-80336-8,21/7/2015,29/2/2016,128200,NA,"ESTABELECER UM REGIME DE MÚTUA COOPERAÇÃO,VISANDO A SUPLEMENTAÇÃO DO FORNECIMENTO DE ALIMENTAÇÃO ESCOLAR NA EEEM DOUTOR HORTÊNCIO SOUSA RIBEIRO (PREMEN),EM DECORRÊNCIA DO PROGRAMA DO ENSINO MÉDIO INOVADOR EM TEMPO INTEGRAL.",NA,PB,CAMPINA GRANDE,NA,Convenio
15-80334-1,21/7/2015,29/2/2016,38000,NA,"ESTABELECER UM REGIME DE MÚTUA COOPERAÇÃO,VISANDO A SUPLEMENTAÇÃO DO FORNECIMENTO DE ALIMENTAÇÃO ESCOLAR NA EEEFM NENZINHA CUNHA LIMA,EM DECORRÊNCIA DO PROGRAMA DO ENSINO MÉDIO INOVADOR EM TEMPO INTEGRAL.",NA,PB,CAMPINA GRANDE,NA,Convenio
15-80208-6,18/6/2015,31/12/2015,900000,NA,"CAPACITAÇÃO PROFISSIONAL,NA FORMA DE ASSISTÊNCIA EDUCACIONAL,PARA 242 (DUZENTOS E QUARENTA E DOIS) JOVENS E ADULTOS ORIUNDOS DE FAMÍLIAS EM SITUAÇÃO DE VULNERABILIDADE SOCIAL,EGRESSOS DO ENSINO MÉDIO NA REDE PÚBLICA DE ENSINO DO ESTADO DA PARAÍBA.",NA,PB,CAMPINA GRANDE,NA,Convenio
15-80104-7,29/5/2015,29/2/2016,25200,NA,"ESTABELECER UM REGIME DE MÚTUA COOPERAÇÃO,VISANDO A SUPLEMENTAÇÃO DO FORNECIMENTO DE ALIMENTAÇÃO ESCOLAR NA EEEFM ISABEL RODRIGUES DE MELO,EM DECORRÊNCIA DO PROGRAMA DO ENSINO MÉDIO INOVADOR EM TEMPO INTEGRAL.",NA,PB,CAMPINA GRANDE,NA,Convenio
15-80072-5,20/5/2015,18/5/2017,0,NA,"COOPERAÇÃO TÉCNICA E ADMINISTRATIVA ENTRE OS PARTÍCIPES OBJETIVANDO AÇÕES CONJUNTAS PARA VALIDAÇÃO E IMPLANTAÇÃO DAS AÇÕES DO CADASTRO AMBIENTAL RURAL (CAR) E DO PROGRAMA DE REGULARIZAÇÃO AMBIENTAL (PRA) DE TODOS OS IMÓVEIS E POSSES RURAIS DOS BENEFICIÁRIOS,QUE VISA ESSENCIALMENTE A REGULARIZAÇÃO AMBIENTAL DAS PROPRIEDADES RURAIS ATRAVÉS DA FERRAMENTA ELETRÔNICA SICAR FEDERAL.",NA,PB,CAMPINA GRANDE,NA,Convenio
15-80058-0,13/5/2015,29/2/2016,180600,NA,"ESTABELECER UM REGIME DE MÚTUA COOPERAÇÃO,VISANDO A SUPLEMENTAÇÃO DO FORNECIMENTO DE ALIMENTAÇÃO ESCOLAR NA EEEM DOUTOR ELPÍDIO DE ALMEIDA (DA PRATA),EM DECORRÊNCIA DO PROGRAMA DO ENSINO MÉDIO INOVADOR EM TEMPO INTEGRAL.",NA,PB,CAMPINA GRANDE,NA,Convenio
15-80047-4,8/5/2015,29/2/2016,50800,NA,"ESTABELECER UM REGIME DE MÚTUA COOPERAÇÃO,VISANDO A SUPLEMENTAÇÃO DO FORNECIMENTO DE ALIMENTAÇÃO ESCOLAR NA EEFM SEVERINO CABRAL,EM DECORRÊNCIA DO PROGRAMA DO ENSINO MÉDIO INOVADOR EM TEMPO INTEGRAL.",NA,PB,CAMPINA GRANDE,NA,Convenio
15-80030-0,9/4/2015,31/8/2015,174452.53,NA,"CONSTRUÇÃO DE SALAS DE LEITURA,DA COORDENAÇÃO E DOS PROFESSORES,BEM COMO DO PISO NO PÁTIO E NA CALÇADA EXTERNA DA ESCOLA DA CASA DO MENINO.",NA,PB,CAMPINA GRANDE,NA,Convenio
15-80028-8,1/4/2015,31/12/2015,222020,NA,"DESCENTRALIZAR CURSOS A FIM DE VIABILIZAR QUE AS PROVAS DE LEGISLAÇÃO DE TRÂNSITO,PARA A OBTENÇÃO DE CARTEIRA NACIONAL DE HABILITAÇÃO - CNH,NOS MUNICIPIOS DE GUARABIRA,CATOLÉ DO ROCHA,PATOS E MONTEIRO,SEJAM REALIZADOS NO ÂMBITO DOS CAMPI DA UNIVERSIDADE ESTADUAL DA PARAÍBA - UEPB",NA,PB,CAMPINA GRANDE,NA,Convenio
15-80027-0,1/4/2015,25/3/2020,0,NA,"O PRESENTE CONVÊNIO TEM POR OBJETIVO ESTABELECER AS CONDIÇÕES NECESSÁRIAS À EXECUÇÃO DO INTERCÂMBIO E COOPERAÇÃO TÉCNICO-CIENTÍFICA,COM FOCO NO DESENVOLVIMENTO DE ATIVIDADES E/OU PROJETOS VOLTADOS PARA A FORMAÇÃO PROFISSIONAL DOS ALUNOS REGULARMENTE MATRICULADOS NOS CURSOS DA FACISA E FCM E DA UEPB,COMO: VISITAS,AULAS PRÁTICAS E ESTÁGIOS CURRICULARES OBRIGATÓRIOS E NÃO-OBRIGATÓRIOS,REALIZADOS SOB O AMPARO DA LEI Nº 11.788/2009.",NA,PB,CAMPINA GRANDE,NA,Convenio
15-80018-1,6/3/2015,27/2/2017,0,NA,"CONSTITUI OBJETO DO PRESENTE PROTOCOLO A COOPERAÇÃO MÚTUA ENTRE AS PARTES,VISANDO REALIZAR O TRATAMENTO DE TABAGISTA DO MUNICÍPIO DE CAMPINA GRANDE/PB,VISANDO À REDUÇÃO DE DANOS PROVOCADOS PELO CONSUMO DE TABACO,GERANDO ASSIM QUALIDADE DE VIDA PARA A COMUNIDADE.",NA,PB,CAMPINA GRANDE,NA,Convenio
15-80013-0,13/2/2015,31/12/2015,824000,NA,"AQUISIÇÃO DE MEDICAMENTOS PARA PACIENTES EM TRATAMENTO DE QUIMIOTERAPIA,PORTADORES DE PATOLOGIAS ONCOLÓGICAS.",NA,PB,CAMPINA GRANDE,NA,Convenio
15-80006-7,29/1/2015,31/12/2015,160000,NA,"DESTINADO AO ATENDIMENTO E MANUTENÇÃO DA ASSISTÊNCIA AS 170 (CENTO E SETENTA) CRIANÇAS CARENTES EM REGIME DE ABRIGO SEMIABERTO NA INSTITUIÇÃO,LOCALIZADA EM CAMPINA GRANDE - PB.",NA,PB,CAMPINA GRANDE,NA,Convenio
15-80004-1,24/1/2015,9/12/2018,0,NA,"CONCESSÃO DE ESTÁGIOS CURRICULARES OBRIGATÓRIOS E NÃO-OBRIGATÓRIOS PELA SUDEMA,AOS ALUNOS REGULAMENTE MATRICULADOR PELA UEPB.",NA,PB,CAMPINA GRANDE,NA,Convenio
15-80003-2,17/1/2015,30/12/2018,0,NA,CONCESSAO DE ESTAGIOS CURRICULARES,NA,PB,CAMPINA GRANDE,NA,Convenio
14-81041-7,19/11/2014,17/11/2015,0,NA,"HABILITAR A CONSIGNATÁRIA A OPERAR NO SISTEMA DE CONSIGNAÇÕES DO ESTADO DA PARAÍBA,ATRAVÉS DE DESCONTO EM FOLHA DE PAGAMENTO PELOS SERVIÇOS DE ASSISTÊNCIA FUNERÁRIA QUE VENHA A PRESTAR AOS SERVIDORES PÚBLICOS ESTADUAIS E DEMAIS BENEFICIÁRIOS POR ELE INDICADOS.",NA,PB,CAMPINA GRANDE,NA,Convenio
14-81032-8,12/11/2014,31/12/2014,1800,NA,"ESTABELECER UM REGIME DE MÚTUA COOPERAÇÃO,VISANDO A SUPLEMENTAÇÃO DO FORNECIMENTO DE ALIMENTAÇÃO ESCOLAR NA ESCOLA AGROTÉCNICA DO CAJUEIRO CAMPUS IV - UEPB,EM DECORRÊNCIA DO PROGRAMA PBVEST.",NA,PB,CAMPINA GRANDE,NA,Convenio
14-81012-3,17/10/2014,1/9/2015,133408.56,NA,"O PRESENTE CONVÊNIO TEM POR OBJETO GARANTIR O INCENTIVO À DOAÇÃO,CAPTAÇÃO E TRANSPLANTE DE FÍGADO NO ESTADO DA PARAÍBA,ALÉM DE CUSTEIO DE DOIS PLANTÕES,NAS PRIMEIRAS 24 HORAS DO PÓS - OPERATÓRIO IMEDIATO (TX DE FÍGADO),FAVORECENDO AOS USUÁRIOS DO SUS.",NA,PB,CAMPINA GRANDE,NA,Convenio
14-81009-3,16/10/2014,31/12/2015,132000,NA,"MANUTENÇÃO DAS ATIVIDADES DE EDUCAÇÃO INCLUSIVA E ASSISTÊNCIA SOCIAL DESENVOLVIDAS JUNTO AOS ALUNOS COM DEFICIÊNCIA VISUAL NA INSTITUIÇÃO,LOCALIZADA EM CAMPINA GRANDE-PB.",NA,PB,CAMPINA GRANDE,NA,Convenio
14-81001-8,8/10/2014,31/12/2014,1800,NA,"ESTABELECER UM REGIME DE MÚTUA COOPERAÇÃO,VISANDO A SUPLEMENTAÇÃO DO FORNECIMENTO DE ALIMENTAÇÃO ESCOLAR NA EEEM DOUTOR ELPÍDIO DE ALMEIDA (DA PRATA),EM DECORRÊNCIA DO PROGRAMA PB VEST.",NA,PB,CAMPINA GRANDE,NA,Convenio
14-80993-1,2/10/2014,29/9/2015,0,NA,VIABILIZAR ESPAÇO ADEQUADO PARA MINISTRAR AULAS PRÁTICAS DO COMPONENTE CURRICULAR DE FISIOTERAPIA AQUÁTICA PARA OS ALUNOS DO CURSO DE FISIOTERAPIA DA UNIVERSIDADE ESTADUAL DA PARAÍBA.,NA,PB,CAMPINA GRANDE,NA,Convenio
14-80987-7,25/9/2014,31/12/2014,1800,NA,"ESTABELECER UM REGIME DE MÚTUA COOPERAÇÃO,VISANDO A SUPLEMENTAÇÃO DO FORNECIMENTO DE ALIMENTAÇÃO ESCOLAR NA EEEM DOUTOR HORTÊNSIO SOUSA RIBEIRO (PREMEN),EM DECORRÊNCIA DO PROGRAMA PBVEST.",NA,PB,CAMPINA GRANDE,NA,Convenio
14-80977-0,18/9/2014,15/9/2019,0,NA,"ESTABELECER AS CONDIÇÕES INDISPENSÁVEIS À VIABILIZAÇÃO DE CONCESSÃO DE ESTÁGIOS CURRICULAR OBRIGATÓRIO AOS ESTUDANTES DOS CURSOS DE ENFERMAGEM,FARMÁCIA,PSICOLOGIA,ODONTOLOGIA,EDUCAÇÃO FÍSICA,FISIOTERAPIA,BIOLOGIA,SERVIÇO SOCIAL,ENGENHARIA SANITÁRIA E AMBIENTAL,REGULARMENTE MATRICULADOS E COM EFETIVA FREQUÊNCIA NOS CURSOS DE GRADUAÇÃO DA UNIVERSIDADE ESTADUAL DA PARAÍBA.",NA,PB,CAMPINA GRANDE,NA,Convenio
14-80944-3,14/8/2014,30/11/2014,22000,NA,REALIZAÇÃO DO PROJETO CIRCUITO DO FORRÓ.,NA,PB,CAMPINA GRANDE,NA,Convenio
14-80919-2,24/7/2014,31/8/2014,25000,NA,REALIZAÇÃO DO CIRCUITO CULTURAL. AÇÕES DA ÁREA DO AUDIOVISUAL.,NA,PB,CAMPINA GRANDE,NA,Convenio
14-80901-0,17/7/2014,4/2/2015,21670,NA,"O PRESENTE CONVÊNIO TEM POR OBJETO CONTRIBUIR PARA PROMOVER UM INFÂNCIA DIGNA,POSSIBILITANTO A FORMAÇÃO DA CIDADANIA E MELHOR QUALIDADE DE VIDA ÀS 50 CRIANÇAS E ADOLESCENTES VIVENDO E CONVIVENDO COM HIV/AIDS CADASTRADAS NO PROJETO CRESCENDO DE BEM COM A VIDA 2014,ORIUNDAS DE MAIS DE 30 MUNÍCIPIOS DO ESTADO DA PARAÍBA.",NA,PB,CAMPINA GRANDE,NA,Convenio
14-80899-4,16/7/2014,4/12/2014,21670,NA,"O PRESENTE CONVÊNIO TEM POR OBJETO O DESENVOLVIMENTO DE AÇÕES DE INTEGRAÇÃO E VALORIZAÇÃO DAS PESSOAS VIVENDO COM HIV/AIDS NO ESTADO DA PARAÍBA,VISANDO AINDA CONTRIBUIR PARA A MELHORIA DA QUALIDADE DE VIDA,RESGATE DA AUTOESTIMA E A SOCIALIZAÇÃO DAS PVHA,ALÉM DE PRESTAR ATENDIMENTO JURÍDICO,PSCICOSSOCIAL E NUTRICIONAL,E MEDIAR CASOS DE VIOLAÇÃO DOS DIREITOS HUMANOS",NA,PB,CAMPINA GRANDE,NA,Convenio
14-80897-8,12/7/2014,4/3/2015,21670,NA,"O PRESENTE CONVÊNIO TEM POR OBJETO MINIMIZAR O IMPACTO ECÔNOMICO E PSICOSSOCIAL CAUSADO PELAS DIVERSAS MANIFESTAÇÕES DE EXCLUSÃO A QUE SÃO SUBMETIDAS AS PESSOAS AFETADAS PELO HIV NO SEIO DA SOCIEDADE,PERMITINDO OFERECER EM CARATER MAIS HUMANIZADO PARA QUE A PESSOAS SE SINTA CUIDADA E PERTENCENTE A UMA REDE SOCIAL,CONTRIBUINDO PARA A MELHORIA DA QUALIDADE DE VIDA DAS PESSOAS VIVENDO COM HIV E AIDS NA REGIÃO METROPOLITANA DE CAMPINA GRANDE.",NA,PB,CAMPINA GRANDE,NA,Convenio
14-80895-1,11/7/2014,4/7/2015,109200,NA,"O PRESENTE CONVÊNIO TEM COMO OBJETO O INCENTIVO A CASA DE APOIO TIPO I,DESTINADA A ACOLHER AS PESSOAS VIVENDO COM HIV/AIDS DE OUTRAS CIDADES DO INTERIOR PARAIBANO,QUE SE DESLOCAM A CAMPINA GRANDE,A FIM DE SEREM ATENDIDAS NOS SERVIÇOS DE REFERÊNCIA,OFERECENDO-LHES SERVIÇOS DE HOSPEDAGEM E ALIMENTAÇÃO.",NA,PB,CAMPINA GRANDE,NA,Convenio
14-80886-2,5/7/2014,29/2/2016,221710,NA,MANUTENÇÃO DA INSTITUIÇÃO QUE ATENDE CRIANÇAS E ADOLESCENTES CARENTES NO CONTRA TURNO ESCOLAR E SEUS FAMILIARES.,NA,PB,CAMPINA GRANDE,NA,Convenio
